model,quantile,pinball_loss
hgb,0.1,0.3867746289481055
hgb,0.5,0.8807480812531966
hgb,0.9,0.46250615170190035
lightgbm,0.1,0.3830265608606987
lightgbm,0.5,0.8876265764398298
lightgbm,0.9,0.4445817816894876
linear,0.1,0.37006674918544774
linear,0.5,0.8152244922373272
linear,0.9,0.3647905634752131
