quantile,feature,importance_gain,importance_gain_pct
0.1,distance_km,280.9078936018486,0.49235225802158245
0.1,dispatch_delay_days,248.10400471882895,0.4348562989143032
0.1,weekend_purchase,16.494213793426752,0.028909701686755836
0.1,same_state,25.03639891371131,0.04388174137735849
0.5,distance_km,1476.0150126393419,0.6055709678209538
0.5,dispatch_delay_days,812.9471808336675,0.3335313034550081
0.5,weekend_purchase,91.53314927220345,0.03755369513034358
0.5,same_state,56.8986062258482,0.02334403359369452
0.9,distance_km,358.0554384529223,0.6634933022893561
0.9,dispatch_delay_days,153.978668036405,0.28532959973745387
0.9,weekend_purchase,9.137598051689565,0.01693239218067465
0.9,same_state,18.480221435427666,0.03424470579251544
