week_start,empirical_coverage,sample_count
2017-12-26,1.0,1
2018-01-02,0.9375,16
2018-01-09,0.8888888888888888,18
2018-01-16,0.8461538461538461,13
2018-01-23,0.8235294117647058,17
2018-01-30,1.0,11
2018-02-06,0.9473684210526315,19
2018-02-13,0.7272727272727273,11
2018-02-20,0.9333333333333333,15
2018-02-27,1.0,11
2018-03-06,0.8181818181818182,11
2018-03-13,0.8181818181818182,22
2018-03-20,0.7272727272727273,11
2018-03-27,0.8888888888888888,9
2018-04-03,0.8823529411764706,17
2018-04-10,0.9375,16
2018-04-17,0.8571428571428571,14
2018-04-24,1.0,17
2018-05-01,0.7894736842105263,19
2018-05-08,0.9285714285714286,14
2018-05-15,1.0,11
2018-05-22,0.6666666666666666,12
2018-05-29,0.875,16
2018-06-05,0.9411764705882353,17
2018-06-12,0.9,10
2018-06-19,0.8888888888888888,9
2018-06-26,0.875,8
