group,coverage,average_promised,average_actual,average_lateness,average_earliness,expected_cost,sample_count,policy,quantile
8ae520247981aa06bc94abddf5f46d34,0.7777777777777778,19.0886336410634,13.491679205246912,1.3797799377051652,6.976734373521655,13.875634062047482,36.0,q90,0.9
8b181ee5518df84f18f4e1a43fe07923,1.0,28.99425094302851,14.560891203703704,0.0,14.433359739324807,14.433359739324807,1.0,q90,0.9
8b2492b7ff4468839593fafeed55bad9,1.0,19.119770895280077,8.89426947167756,0.0,10.225501423602516,10.225501423602516,17.0,q90,0.9
8b28d096634035667e8263d57ba3368c,0.6216216216216216,18.3110553668026,16.07232294794795,3.5926588098553216,5.83139122870998,23.794685277986584,37.0,q90,0.9
8b2d4ab22f42c5cfc338b846decfda60,0.6666666666666666,23.192599589371913,20.036639660493826,3.6471506813928762,6.80311061027096,25.038864017235344,3.0,q90,0.9
8b321bb669392f5163d04c59e235e066,0.8211829436038515,17.696741832409195,12.674075427301446,1.4507624272565929,6.47342883236435,13.727240968647317,727.0,q90,0.9
8b655f0855926bcb49f5835d38dfddf6,1.0,13.23592935985659,4.150914351851852,0.0,9.085015008004738,9.085015008004738,1.0,q90,0.9
8b8cfc8305aa441e4239358c9f6f2485,1.0,28.898978298330036,6.413697916666667,0.0,22.48528038166337,22.48528038166337,2.0,q90,0.9
8b9d6eec4a7eb7d0f9d579ce0b38324d,0.9090909090909091,22.967283040314108,10.185220959595961,1.3246300231542905,14.106692103872444,20.7298422196439,11.0,q90,0.9
8bb48dc19fccaa8613b6229bf7f452a2,0.9090909090909091,19.050239551407902,11.81110185185185,0.6059767587429981,7.84511445829905,10.874998252014038,55.0,q90,0.9
8bd0e3abda539b9479c4b44a691be1ec,1.0,23.2249893985551,15.673738425925926,0.0,7.551250972629173,7.551250972629173,1.0,q90,0.9
8bd0f31cf0a614c658f6763bd02dea69,0.875,22.778217745915356,14.668482349537037,0.13081377725777976,8.240549173636097,8.894618059924998,8.0,q90,0.9
8bdd8e3fd58bafa48af76b2c5fd71974,0.6666666666666666,19.914286587305114,13.308790509259259,1.154907461702163,7.760403539748018,13.534940848258833,6.0,q90,0.9
8c0de775f52fe41590b376a3b7c50f68,1.0,18.369281188390676,6.531380621693122,0.0,11.83790056669755,11.83790056669755,7.0,q90,0.9
8c16d1f32a54d92897cc437244442e1b,0.8936170212765957,18.55570851077584,11.922848946020487,0.3989512058341424,7.031810770589495,9.026566799760207,47.0,q90,0.9
8c5e007d7bd5693fa1386ffefbc99f6c,0.6666666666666666,20.442413993941752,17.681323302469135,2.2558506329182832,5.016941324390897,16.296194488982312,3.0,q90,0.9
8c9348f33ae3dada25c99c99ade2af78,1.0,23.830909824185316,7.3493865740740745,0.0,16.48152325011124,16.48152325011124,1.0,q90,0.9
8ca1551acf9832a4cf467bbbac15851f,0.8888888888888888,21.82701113785906,13.955288065843623,2.679491244820196,10.55121431683564,23.948670540936618,9.0,q90,0.9
8cb7c5ddf41f4d506eba76e9a4702a25,1.0,27.601401108336912,16.01363425925926,0.0,11.587766849077653,11.587766849077653,1.0,q90,0.9
8cbac7e12637ed9cffa18c7875207478,0.7619047619047619,23.18957234529895,17.073246803350976,2.4860035799530187,8.602329121900997,21.032347021666094,21.0,q90,0.9
8d46553a36e68f95350a200c12f8f2e2,1.0,26.843993662010934,6.970856481481482,0.0,19.873137180529454,19.873137180529454,1.0,q90,0.9
